,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender
200,2004-12,Scotland,Economic activity rate males - aged 50-64,Variable,28.099999999999994,Male
204,2004-12,Scotland,Economic activity rate females - aged 50-64,Variable,43.8,Female
424,2005-03,Scotland,Economic activity rate males - aged 50-64,Variable,27.700000000000003,Male
428,2005-03,Scotland,Economic activity rate females - aged 50-64,Variable,43.5,Female
648,2005-06,Scotland,Economic activity rate males - aged 50-64,Variable,27.900000000000006,Male
652,2005-06,Scotland,Economic activity rate females - aged 50-64,Variable,43.8,Female
872,2005-09,Scotland,Economic activity rate males - aged 50-64,Variable,27.700000000000003,Male
876,2005-09,Scotland,Economic activity rate females - aged 50-64,Variable,43.1,Female
1096,2005-12,Scotland,Economic activity rate males - aged 50-64,Variable,27.400000000000006,Male
1100,2005-12,Scotland,Economic activity rate females - aged 50-64,Variable,42.9,Female
1320,2006-03,Scotland,Economic activity rate males - aged 50-64,Variable,27.200000000000003,Male
1324,2006-03,Scotland,Economic activity rate females - aged 50-64,Variable,42.8,Female
1544,2006-06,Scotland,Economic activity rate males - aged 50-64,Variable,26.700000000000003,Male
1548,2006-06,Scotland,Economic activity rate females - aged 50-64,Variable,42.6,Female
1768,2006-09,Scotland,Economic activity rate males - aged 50-64,Variable,26.900000000000006,Male
1772,2006-09,Scotland,Economic activity rate females - aged 50-64,Variable,42.7,Female
1992,2006-12,Scotland,Economic activity rate males - aged 50-64,Variable,25.900000000000006,Male
1996,2006-12,Scotland,Economic activity rate females - aged 50-64,Variable,42.3,Female
2216,2007-03,Scotland,Economic activity rate males - aged 50-64,Variable,26.299999999999997,Male
2220,2007-03,Scotland,Economic activity rate females - aged 50-64,Variable,42.0,Female
2440,2007-06,Scotland,Economic activity rate males - aged 50-64,Variable,26.599999999999994,Male
2444,2007-06,Scotland,Economic activity rate females - aged 50-64,Variable,41.6,Female
2664,2007-09,Scotland,Economic activity rate males - aged 50-64,Variable,25.799999999999997,Male
2668,2007-09,Scotland,Economic activity rate females - aged 50-64,Variable,41.7,Female
2888,2007-12,Scotland,Economic activity rate males - aged 50-64,Variable,25.900000000000006,Male
2892,2007-12,Scotland,Economic activity rate females - aged 50-64,Variable,41.8,Female
3112,2008-03,Scotland,Economic activity rate males - aged 50-64,Variable,25.299999999999997,Male
3116,2008-03,Scotland,Economic activity rate females - aged 50-64,Variable,41.5,Female
3336,2008-06,Scotland,Economic activity rate males - aged 50-64,Variable,25.099999999999994,Male
3340,2008-06,Scotland,Economic activity rate females - aged 50-64,Variable,40.8,Female
3560,2008-09,Scotland,Economic activity rate males - aged 50-64,Variable,24.700000000000003,Male
3564,2008-09,Scotland,Economic activity rate females - aged 50-64,Variable,40.2,Female
3784,2008-12,Scotland,Economic activity rate males - aged 50-64,Variable,25.599999999999994,Male
3788,2008-12,Scotland,Economic activity rate females - aged 50-64,Variable,40.4,Female
4008,2009-03,Scotland,Economic activity rate males - aged 50-64,Variable,25.5,Male
4012,2009-03,Scotland,Economic activity rate females - aged 50-64,Variable,40.0,Female
4232,2009-06,Scotland,Economic activity rate males - aged 50-64,Variable,25.700000000000003,Male
4236,2009-06,Scotland,Economic activity rate females - aged 50-64,Variable,39.7,Female
4456,2009-09,Scotland,Economic activity rate males - aged 50-64,Variable,25.799999999999997,Male
4460,2009-09,Scotland,Economic activity rate females - aged 50-64,Variable,39.1,Female
4680,2009-12,Scotland,Economic activity rate males - aged 50-64,Variable,26.0,Male
4684,2009-12,Scotland,Economic activity rate females - aged 50-64,Variable,38.9,Female
4904,2010-03,Scotland,Economic activity rate males - aged 50-64,Variable,26.099999999999994,Male
4908,2010-03,Scotland,Economic activity rate females - aged 50-64,Variable,38.2,Female
5128,2010-06,Scotland,Economic activity rate males - aged 50-64,Variable,26.099999999999994,Male
5132,2010-06,Scotland,Economic activity rate females - aged 50-64,Variable,39.0,Female
5352,2010-09,Scotland,Economic activity rate males - aged 50-64,Variable,26.299999999999997,Male
5356,2010-09,Scotland,Economic activity rate females - aged 50-64,Variable,39.4,Female
5576,2010-12,Scotland,Economic activity rate males - aged 50-64,Variable,26.400000000000006,Male
5580,2010-12,Scotland,Economic activity rate females - aged 50-64,Variable,39.5,Female
5800,2011-03,Scotland,Economic activity rate males - aged 50-64,Variable,27.200000000000003,Male
5804,2011-03,Scotland,Economic activity rate females - aged 50-64,Variable,40.1,Female
6024,2011-06,Scotland,Economic activity rate males - aged 50-64,Variable,27.400000000000006,Male
6028,2011-06,Scotland,Economic activity rate females - aged 50-64,Variable,40.0,Female
6248,2011-09,Scotland,Economic activity rate males - aged 50-64,Variable,27.299999999999997,Male
6252,2011-09,Scotland,Economic activity rate females - aged 50-64,Variable,39.4,Female
6472,2011-12,Scotland,Economic activity rate males - aged 50-64,Variable,26.799999999999997,Male
6476,2011-12,Scotland,Economic activity rate females - aged 50-64,Variable,39.4,Female
6696,2012-03,Scotland,Economic activity rate males - aged 50-64,Variable,26.5,Male
