,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender,obvs_dis
216,2004-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
220,2004-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,54.0
440,2005-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
444,2005-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.55,Female,55.0
664,2005-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,32.0
668,2005-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.56,Female,56.0
888,2005-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.31,Male,31.0
892,2005-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.57,Female,57.0
1112,2005-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
1116,2005-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.55,Female,55.0
1336,2006-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,32.0
1340,2006-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.55,Female,55.0
1560,2006-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.31,Male,31.0
1564,2006-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
1784,2006-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,32.0
1788,2006-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
2008,2006-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,34.0
2012,2006-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,52.0
2232,2007-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,34.0
2236,2007-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,52.0
2456,2007-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.33,Male,33.0
2460,2007-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.55,Female,55.0
2680,2007-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,34.0
2684,2007-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
2904,2007-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,34.0
2908,2007-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,54.0
3128,2008-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.33,Male,33.0
3132,2008-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,54.0
3352,2008-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,34.0
3356,2008-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
3576,2008-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.35,Male,35.0
3580,2008-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
3800,2008-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.35,Male,35.0
3804,2008-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
4024,2009-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.36,Male,36.0
4028,2009-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,54.0
4248,2009-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.36,Male,36.0
4252,2009-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.54,Female,54.0
4472,2009-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.36,Male,36.0
4476,2009-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
4696,2009-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.35,Male,35.0
4700,2009-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
4920,2010-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,34.0
4924,2010-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,52.0
5144,2010-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,34.0
5148,2010-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.53,Female,53.0
5368,2010-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.34,Male,34.0
5372,2010-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,52.0
5592,2010-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.31,Male,31.0
5596,2010-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.51,Female,51.0
5816,2011-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,29.0
5820,2011-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.52,Female,52.0
6040,2011-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,29.0
6044,2011-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.5,Female,50.0
6264,2011-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
6268,2011-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.49,Female,49.0
6488,2011-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
6492,2011-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.48,Female,48.0
6712,2012-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
6716,2012-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.46,Female,46.0
6936,2012-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,29.0
6940,2012-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.45,Female,45.0
7160,2012-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
7164,2012-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.44,Female,44.0
7384,2012-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
7388,2012-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,43.0
7608,2013-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,29.0
7612,2013-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
7832,2013-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.29,Male,29.0
7836,2013-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.44,Female,44.0
8056,2013-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
8060,2013-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,43.0
8280,2013-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,26.0
8284,2013-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,43.0
8504,2014-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
8508,2014-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,43.0
8728,2014-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
8732,2014-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
8952,2014-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
8956,2014-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,43.0
9176,2014-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
9180,2014-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,43.0
9400,2015-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,26.0
9404,2015-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,43.0
9624,2015-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
9628,2015-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
9848,2015-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
9852,2015-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,41.0
10072,2015-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
10076,2015-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,41.0
10296,2016-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
10300,2016-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
10520,2016-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,26.0
10524,2016-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,41.0
10744,2016-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,26.0
10748,2016-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
10968,2016-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.26,Male,26.0
10972,2016-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,41.0
11192,2017-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
11196,2017-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
11416,2017-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.27,Male,27.0
11420,2017-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.43,Female,43.0
11640,2017-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
11644,2017-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
11864,2017-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.28,Male,28.0
11868,2017-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.42,Female,42.0
12088,2018-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
12092,2018-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,41.0
12312,2018-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.32,Male,32.0
12316,2018-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,41.0
12536,2018-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
12540,2018-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,0.41,Female,41.0
12760,2018-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,0.3,Male,30.0
