,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender,obvs_dis
200,2004-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
204,2004-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.44,Female,0.44
424,2005-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
428,2005-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.44,Female,0.44
648,2005-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
652,2005-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.44,Female,0.44
872,2005-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.28,Male,0.28
876,2005-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
1096,2005-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
1100,2005-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
1320,2006-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
1324,2006-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
1544,2006-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
1548,2006-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
1768,2006-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
1772,2006-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.43,Female,0.43
1992,2006-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
1996,2006-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
2216,2007-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
2220,2007-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
2440,2007-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
2444,2007-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
2664,2007-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
2668,2007-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
2888,2007-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
2892,2007-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
3112,2008-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
3116,2008-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.42,Female,0.42
3336,2008-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
3340,2008-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.41,Female,0.41
3560,2008-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
3564,2008-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
3784,2008-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
3788,2008-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
4008,2009-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
4012,2009-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
4232,2009-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
4236,2009-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
4456,2009-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
4460,2009-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
4680,2009-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
4684,2009-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
4904,2010-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
4908,2010-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.38,Female,0.38
5128,2010-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
5132,2010-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
5352,2010-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
5356,2010-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
5576,2010-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
5580,2010-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
5800,2011-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
5804,2011-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
6024,2011-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
6028,2011-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
6248,2011-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
6252,2011-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
6472,2011-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
6476,2011-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
6696,2012-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
6700,2012-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.4,Female,0.4
6920,2012-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
6924,2012-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
7144,2012-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
7148,2012-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
7368,2012-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
7372,2012-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
7592,2013-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.27,Male,0.27
7596,2013-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
7816,2013-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
7820,2013-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
8040,2013-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
8044,2013-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.39,Female,0.39
8264,2013-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
8268,2013-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.37,Female,0.37
8488,2014-03,Scotland,Economic activity rate males - aged 50-64,Variable,0.26,Male,0.26
8492,2014-03,Scotland,Economic activity rate females - aged 50-64,Variable,0.36,Female,0.36
8712,2014-06,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
8716,2014-06,Scotland,Economic activity rate females - aged 50-64,Variable,0.36,Female,0.36
8936,2014-09,Scotland,Economic activity rate males - aged 50-64,Variable,0.25,Male,0.25
8940,2014-09,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female,0.35
9160,2014-12,Scotland,Economic activity rate males - aged 50-64,Variable,0.24,Male,0.24
9164,2014-12,Scotland,Economic activity rate females - aged 50-64,Variable,0.35,Female,0.35
