,DATE,GEOGRAPHY_NAME,VARIABLE_NAME,MEASURES_NAME,Obvs,Gender
216,2004-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,29.900000000000006,Male
220,2004-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.6,Female
440,2005-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.400000000000006,Male
444,2005-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.9,Female
664,2005-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.5,Male
668,2005-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,56.0,Female
888,2005-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.700000000000003,Male
892,2005-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,57.1,Female
1112,2005-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,30.5,Male
1116,2005-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,55.2,Female
1336,2006-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.900000000000006,Male
1340,2006-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.6,Female
1560,2006-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,31.299999999999997,Male
1564,2006-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.7,Female
1784,2006-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,32.400000000000006,Male
1788,2006-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.9,Female
2008,2006-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.8,Male
2012,2006-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.5,Female
2232,2007-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.5,Male
2236,2007-03,Northern Ireland,Economic activity rate females - aged 50-64,Variable,52.2,Female
2456,2007-06,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.2,Male
2460,2007-06,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.7,Female
2680,2007-09,Northern Ireland,Economic activity rate males - aged 50-64,Variable,34.2,Male
2684,2007-09,Northern Ireland,Economic activity rate females - aged 50-64,Variable,53.4,Female
2904,2007-12,Northern Ireland,Economic activity rate males - aged 50-64,Variable,34.5,Male
2908,2007-12,Northern Ireland,Economic activity rate females - aged 50-64,Variable,54.0,Female
3128,2008-03,Northern Ireland,Economic activity rate males - aged 50-64,Variable,33.3,Male
